phenotype,brief_name,var_type,dist_function,default_rank,default_text
Berkman - insurance,bsnq_payer,continuous,gaussian(),,
Berkman - listener,bsnq_listener,continuous,gaussian(),,
Berkman - Medicaid Medicare,bsnq_cms,continuous,gaussian(),,
Berkman - num close friends,bsnq_num_friends,continuous,gaussian(),,
Berkman - num relatives,bsnq_num_relatives,continuous,gaussian(),,
Berkman - one to show love,bsnq_love_affection,continuous,gaussian(),,
Berkman - relatives per month,bsnq_rels_per_month,continuous,gaussian(),,
Berkman social support score,bsnq,continuous,gaussian(),,
Birth control pills since last visit,ocp_recent,categorical,multinomial('identity'),,
Black tea - daily servings,black_tea_cat,continuous,gaussian(),,
Black tea range,black_tea_daily,continuous,gaussian(),,
Bladder incontinence (Barthel),barthel_bladder,continuous,gaussian(),,
Bladder incontinence (Katz),katz_bladder,continuous,gaussian(),,
BMI,bmi,categorical,multinomial('identity'),,
BMI value,bmi_val,continuous,gaussian(),,
Body fat - %,body_fat,continuous,gaussian(),,
Body Impedance - ohms,body_impdnc,continuous,gaussian(),,
Body surface area,bsa,continuous,gaussian(),,
Borrow car (frailty),borrow_car_frailty,continuous,gaussian(),,
Bouts per day - recoded,bouts_day_recode,continuous,gaussian(),,
"Bouts per day, weekday - recoded",bouts_wkdy_recode,continuous,gaussian(),,
"Bouts per day, weekend - recoded",bouts_wknd_recode,continuous,gaussian(),,
Bowel incontinence (Barthel),barthel_bowel,continuous,gaussian(),,
Bowel incontinence (Katz),katz_bowel,continuous,gaussian(),,
Brim Family Support Score,brim_fss,continuous,gaussian(),,
BUN,bun,categorical,multinomial('identity'),,
BUN value,bun_val,continuous,gaussian(),,
CAD (frailty),cad_frailty,categorical,multinomial('identity'),0,No
Caffeinated diet soda - daily servings,caf_diet_soda_daily,continuous,gaussian(),,
Caffeinated diet soda range,caf_diet_soda_cat,categorical,multinomial('identity'),,
Caffeinated soda - daily servings,caf_soda_cat,categorical,multinomial('identity'),,
Caffeinated soda range,caf_soda_daily,continuous,gaussian(),,
Caffeinated tea - daily servings,caf_tea_daily,continuous,gaussian(),,
Caffeine daily,caf_daily,continuous,gaussian(),,
Calories daily,cal_daily,continuous,gaussian(),,
Can do moderate activity (frailty),mod_act_frailty,continuous,gaussian(),,
Cancer,cancer,categorical,multinomial('identity'),1,No
Cancer (frailty),cancer_frailty,categorical,multinomial('identity'),0,No
Cant keep pace with friends (frailty),keep_pace_frailty,continuous,gaussian(),,
Cause of menopause,menopause_cause,categorical,multinomial('identity'),,
Census Tract SES Score,ses,continuous,gaussian(),,
CES-D10 score,cesd10,continuous,gaussian(),,
CES-D11 score,cesd11,continuous,gaussian(),,
CES-D20 score,cesd20,continuous,gaussian(),,
Cheese - weekly servings,cheese_wk,continuous,gaussian(),,
Children in house,children_home,categorical,multinomial('identity'),,
Chores (ESSI),essi_chores,continuous,gaussian(),,
Chronic kidney disease stage,ckd,categorical,multinomial('identity'),,
Chronic stressors,chronic_stress,continuous,gaussian(),,
"Chronic stressors, 6 months",chronic_stress_6mo,continuous,gaussian(),,
CHS social network score,CHS_soc_net_study,continuous,gaussian(),,
CHS Social support score,CHS_soc_support,continuous,gaussian(),,
CKD (frailty),ckd_frailty,categorical,multinomial('identity'),0,No
Climb flight of stairs (frailty),flgt_stairs_frailty,categorical,multinomial('identity'),,
Climb several flights of stairs (frailty),stairs_frailty,continuous,gaussian(),,
Close friends seen/month,friends_per_month,continuous,gaussian(),,
Close relatives seen/month,rels_per_month,continuous,gaussian(),,
Cocaine use,cocaine,categorical,multinomial('identity'),,
Coenzyme Q - frequency,coq,continuous,gaussian(),,
Coffee - daily servings,coffee_daily,continuous,gaussian(),,
Coffee range,coffee_cat,categorical,multinomial('identity'),,
Cognitive Abilities Screening Instrument,casi,continuous,gaussian(),,
Confidant (ESSI),essi_confidant,continuous,gaussian(),,
Confidant (frailty),confidant_frailty,continuous,gaussian(),,
Conjugated estrogens,conj_estrogen,categorical,multinomial('identity'),,
COPD,copd,categorical,multinomial('identity'),1,No
COPD (frailty),copd_frailty,categorical,multinomial('identity'),0,No
Coronary artery disease,cad,categorical,multinomial('identity'),1,No
Coronary calcium score,cac,continuous,gaussian(),,
Cortisol,cortisol,continuous,gaussian(),,
Counts of light activity per day,counts_light_day,continuous,gaussian(),,
"Counts of light activity per day, weekday",counts_light_wkdy,continuous,gaussian(),,
"Counts of light activity per day, weekend",counts_light_wknd,continuous,gaussian(),,
Counts of mod-vigorous activity per day,counts_mvpa_day,continuous,gaussian(),,
"Counts of mod-vigorous activity per day, weekday",counts_mvpa_wkdy,continuous,gaussian(),,
"Counts of mod-vigorous activity per day, weekend",counts_mvpa_wknd,continuous,gaussian(),,
Counts of moderate activity per day,counts_mod_day,continuous,gaussian(),,
"Counts of moderate activity per day, weekday",counts_mod_wkdy,continuous,gaussian(),,
"Counts of moderate activity per day, weekend",counts_mod_wknd,continuous,gaussian(),,
Counts of sedentary activity per day,counts_sed_day,continuous,gaussian(),,
Counts of sedentary activity per day - sporadic,counts_sed_day_sporadic,continuous,gaussian(),,
"Counts of sedentary activity per day, weekday",counts_sed_wkdy,continuous,gaussian(),,
"Counts of sedentary activity per day, weekday - sporadic",counts_sed_wkdy_sporadic,continuous,gaussian(),,
"Counts of sedentary activity per day, weekend",counts_sed_wknd,continuous,gaussian(),,
"Counts of sedentary activity per day, weekend - sporadic",counts_sed_wknd_sporadic,continuous,gaussian(),,
Counts of vigorous activity per day,counts_vig_day,continuous,gaussian(),,
"Counts of vigorous activity per day, weekday",counts_vig_wkdy,continuous,gaussian(),,
"Counts of vigorous activity per day, weekend",counts_vig_wknd,continuous,gaussian(),,
Counts per day - recoded,counts_day_recode,continuous,gaussian(),,
Counts per day of light activity in bouts > 10 minutes,counts_light_bouts_day,continuous,gaussian(),,
"Counts per day of light activity in bouts > 10 minutes, weekday",counts_light_bouts_weekday,continuous,gaussian(),,
"Counts per day of light activity in bouts > 10 minutes, weekend",counts_light_bouts_weekend,continuous,gaussian(),,
Counts per day of moderate activity in bouts > 10 minutes,counts_mod_bouts_day,continuous,gaussian(),,
"Counts per day of moderate activity in bouts > 10 minutes, weekday",counts_mod_bouts_wkdy,continuous,gaussian(),,
"Counts per day of moderate activity in bouts > 10 minutes, weekend",counts_mod_bouts_wknd,continuous,gaussian(),,
Counts per day of sedentary activity in bouts > 10 minutes,counts_sed_bouts_day,continuous,gaussian(),,
"Counts per day of sedentary activity in bouts > 10 minutes, weekday",counts_sed_bouts_wkdy,continuous,gaussian(),,
"Counts per day of sedentary activity in bouts > 10 minutes, weekend",counts_sed_bouts_wknd,continuous,gaussian(),,
Counts per day of vigorous activity in bouts > 10 minutes,counts_vig_bouts_day,continuous,gaussian(),,
"Counts per day of vigorous activity in bouts > 10 minutes, weekday",counts_vig_bouts_wkdy,continuous,gaussian(),,
"Counts per day of vigorous activity in bouts > 10 minutes, weekend",couts_vig_bouts_wknd,continuous,gaussian(),,
"Counts per day, weekday - recoded",counts_wkdy_recode,continuous,gaussian(),,
"Counts per day, weekend - recoded",counts_wknd_recode,continuous,gaussian(),,
Counts when motionless per day,counts_nomotion_day,continuous,gaussian(),,
"Counts when motionless per day, weekday",counts_nomotion_wkdy,continuous,gaussian(),,
"Counts when motionless per day, weekend",counts_nomotion_wknd,continuous,gaussian(),,
Creatinine clearance,crcl,continuous,gaussian(),,
Creatinine clearance < 30,crcl_30,categorical,multinomial('identity'),,
Current smoker,cur_smoke,categorical,multinomial('identity'),1,No
Currently going through menopause,perimenopause,categorical,multinomial('identity'),,
Currently married,currently_married,categorical,multinomial('identity'),,
Daily active hours,active_hr_daily,continuous,gaussian(),,
Daily calories used,calories_used_daily,continuous,gaussian(),,
Daily fiber,fiber_daily,continuous,gaussian(),,
Dark green vegetables - daily servings,drkgreen_veg_daily,continuous,gaussian(),,
Decaf coffee - daily servings,decaf_coffee_cat,categorical,multinomial('identity'),,
Decaf coffee range,decaf_coffee_val,continuous,gaussian(),,
Decaffeinated diet soda - daily servings,decaf_diet_soda_val,categorical,multinomial('identity'),,
Decaffeinated diet soda range,decaf_diet_soda_cat,continuous,gaussian(),,
Decaffeinated soda - daily servings,decaf_soda_val,continuous,gaussian(),,
Decaffeinated soda range,decaf_soda_cat,categorical,multinomial('identity'),,
Decaffeinated tea - daily servings,decaf_tea_val,continuous,gaussian(),,
Delayed getting care,delay_in_care,categorical,multinomial('identity'),,
Dementia (frailty),dementia_frailty,continuous,gaussian(),,
Dental problems (frailty),dental_frailty,continuous,gaussian(),,
Depression - CES-D,depression,categorical,multinomial('identity'),,
Diabetes mellitus,dm,categorical,multinomial('identity'),1,No
Diabetes mellitus (frailty),dm_frailty,categorical,multinomial('identity'),0,No
Diabetes mellitus type,dm_type,categorical,multinomial('identity'),,
Diastolic blood pressure,dbp_cat,categorical,multinomial('identity'),,
Diastolic blood pressure value,dbp_val,continuous,gaussian(),,
Diet soda - daily servings,diet_soda_cat,categorical,multinomial('identity'),,
Diet soda range,diet_soda_val,continuous,gaussian(),,
Dietary Guidelines Adherence Index,dgai,continuous,gaussian(),,
Difficulty getting pregnant,infertility,categorical,multinomial('identity'),,
Difficulty walking at home (frailty),tough_walking_frailty,categorical,multinomial('identity'),,
DLCO - % predicted,dlco_ppred,categorical,multinomial('identity'),,
DLCO/alveolar volume,dlco_va,continuous,gaussian(),,
DLCO/VA -   % predicted,dlco_va_pct,continuous,gaussian(),,
Dress (Barthel),barthel_dress,continuous,gaussian(),,
Dress (Katz),katz_dress,continuous,gaussian(),,
Drinks per week - alcohol,alcohol_week_val,continuous,gaussian(),,
E prime avg value,eprime_avg_val,continuous,gaussian(),,
E prime lateral,eprime_lat,categorical,multinomial('identity'),,
E prime lateral value,eprime_lat_val,continuous,gaussian(),,
E prime septal,eprime_med,categorical,multinomial('identity'),,
E prime septal value,eprime_med_val,continuous,gaussian(),,
E wave value,ewave_val,continuous,gaussian(),,
E/e prime lateral,eeprime_lat,categorical,multinomial('identity'),,
E/e prime lateral value,eeprime_lat_val,continuous,gaussian(),,
E/e prime avg,eeprime_avg,categorical,multinomial('identity'),,
E/e prime avg value,eeprime_avg_val,continuous,gaussian(),,
E/e prime medial,eeprime_med,categorical,multinomial('identity'),,
E/e prime medial value,eeprime_med_val,continuous,gaussian(),,
Eat (Barthel),barthel_eat,continuous,gaussian(),,
Eat (Katz),katz_eat,continuous,gaussian(),,
ED since last visit,recent_ed,categorical,multinomial('identity'),,
Edema,edema_px,categorical,multinomial('identity'),,
Edema - symptoms,edema_sz,categorical,multinomial('identity'),,
Education level,educ_level,categorical,multinomial('identity'),,
Education level - father,educ_level_f,categorical,multinomial('identity'),,
Education level - mother,educ_level_m,categorical,multinomial('identity'),,
Education level simple,educ_level_simple,categorical,multinomial('identity'),,
Education level simple - father,educ_level_simple_f,categorical,multinomial('identity'),,
Education level simple - mother,educ_level_simple_m,categorical,multinomial('identity'),,
Eggs - daily servings,eggs_val,continuous,gaussian(),,
Emotional social support index,emot_support_idx,continuous,gaussian(),,
Emotional supporter (ESSI),essi_emot_support,continuous,gaussian(),,
Emotional supporter (frailty),emo_support_frailty,continuous,gaussian(),,
Energy-specific food sub-score,energy_subscore,continuous,gaussian(),,
Enrollment year,enroll_yr,continuous,gaussian(),,
"Estradiol, pg/mL",estradiol_val,continuous,gaussian(),,
Estrogen,estrogen,categorical,multinomial('identity'),,
"Estrogen, pg/mL",estrogen_val,continuous,gaussian(),,
"Estrone, pg/ml",estrone_val,continuous,gaussian(),,
